epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4483.04,1.28678,0.88611,1.18038,0.72991,0.64841,0.70585,0.41225,1.224,0.80037,1.12366,0.000848969,0.000848969,0.000848969
43,4591.24,1.28545,0.87934,1.17627,0.72709,0.65295,0.70531,0.4082,1.24278,0.81053,1.12209,0.000834822,0.000834822,0.000834822
44,4733.02,1.27208,0.87568,1.16997,0.72318,0.66112,0.70834,0.40742,1.24808,0.81157,1.11889,0.000820675,0.000820675,0.000820675
45,4848.46,1.27318,0.8739,1.16841,0.72793,0.65338,0.70454,0.41343,1.22461,0.80281,1.10711,0.000806528,0.000806528,0.000806528
46,4956.44,1.26191,0.86684,1.16487,0.74246,0.65438,0.71245,0.41892,1.19355,0.79501,1.09431,0.00079238,0.00079238,0.00079238
47,5065.26,1.25879,0.86031,1.1626,0.74663,0.6565,0.71598,0.4214,1.19088,0.78423,1.0933,0.000778233,0.000778233,0.000778233
48,5173.07,1.26373,0.86289,1.16183,0.74138,0.66476,0.7166,0.42548,1.17641,0.78198,1.08401,0.000764086,0.000764086,0.000764086
49,5281.08,1.25017,0.8488,1.15376,0.73438,0.66535,0.71667,0.42113,1.22058,0.7788,1.10065,0.000749939,0.000749939,0.000749939
50,5388.94,1.24534,0.85191,1.15493,0.73858,0.66634,0.71912,0.42243,1.19711,0.78301,1.09379,0.000735792,0.000735792,0.000735792
51,5497.52,1.24846,0.85236,1.15238,0.73459,0.672,0.72091,0.42573,1.18176,0.77214,1.08657,0.000721645,0.000721645,0.000721645
52,5605.64,1.24528,0.84491,1.15268,0.72672,0.67722,0.72001,0.42274,1.21622,0.77871,1.09874,0.000707498,0.000707498,0.000707498
53,5713.91,1.24862,0.85136,1.15019,0.74269,0.66837,0.72348,0.42879,1.1876,0.76695,1.08409,0.000693351,0.000693351,0.000693351
54,5821.66,1.2317,0.83694,1.14093,0.74197,0.66864,0.72302,0.4263,1.19345,0.77092,1.08851,0.000679204,0.000679204,0.000679204
55,5929.78,1.23447,0.83967,1.14286,0.72781,0.68073,0.7247,0.43348,1.1462,0.76052,1.06783,0.000665057,0.000665057,0.000665057
56,6038.03,1.22751,0.83708,1.13787,0.73937,0.67476,0.72512,0.4332,1.15799,0.76163,1.06905,0.000650909,0.000650909,0.000650909
57,6145.78,1.22358,0.83301,1.14314,0.73272,0.67482,0.7273,0.42787,1.20222,0.76201,1.08872,0.000636762,0.000636762,0.000636762
58,6253.71,1.22332,0.82769,1.13728,0.74643,0.67377,0.72919,0.43792,1.13802,0.7464,1.06393,0.000622615,0.000622615,0.000622615
59,6361.85,1.21969,0.82486,1.13386,0.73911,0.68225,0.73314,0.43531,1.16955,0.74991,1.0701,0.000608468,0.000608468,0.000608468
60,6470.64,1.20903,0.82228,1.13275,0.75957,0.6763,0.73023,0.43708,1.15761,0.7446,1.06467,0.000594321,0.000594321,0.000594321
61,6578.34,1.21074,0.82025,1.13178,0.74573,0.67968,0.73291,0.44017,1.14045,0.74176,1.06353,0.000580174,0.000580174,0.000580174
62,6687.04,1.20698,0.80996,1.12786,0.75633,0.68133,0.73532,0.43709,1.17604,0.7453,1.07229,0.000566027,0.000566027,0.000566027
63,6795.22,1.20538,0.8128,1.12997,0.74639,0.68478,0.734,0.43364,1.18732,0.74017,1.07746,0.00055188,0.00055188,0.00055188
64,6903.09,1.2031,0.81495,1.12538,0.75264,0.68598,0.73692,0.4389,1.15604,0.73768,1.06634,0.000537733,0.000537733,0.000537733
65,7068.3,1.19691,0.8102,1.12257,0.74589,0.68633,0.73559,0.43737,1.16544,0.73856,1.06911,0.000523586,0.000523586,0.000523586
66,7197.53,1.19914,0.81217,1.12611,0.74086,0.68462,0.73418,0.43984,1.15135,0.73928,1.06465,0.000509438,0.000509438,0.000509438
67,7305.79,1.19291,0.80898,1.1194,0.76041,0.68138,0.73837,0.44328,1.14073,0.72694,1.06042,0.000495291,0.000495291,0.000495291
68,7414.19,1.19123,0.79955,1.11835,0.75415,0.68506,0.73651,0.44297,1.13789,0.73013,1.05562,0.000481144,0.000481144,0.000481144
69,7522.25,1.18485,0.79786,1.11594,0.75235,0.69063,0.74031,0.44061,1.16209,0.72827,1.06421,0.000466997,0.000466997,0.000466997
70,7630.75,1.1849,0.79524,1.11583,0.74484,0.69294,0.73845,0.44422,1.14128,0.7259,1.05756,0.00045285,0.00045285,0.00045285
71,7738.95,1.17888,0.79567,1.11284,0.75256,0.68336,0.73764,0.44868,1.11436,0.72239,1.0477,0.000438703,0.000438703,0.000438703
72,7847.25,1.17555,0.78481,1.10836,0.75923,0.68814,0.74256,0.44638,1.12299,0.7206,1.04865,0.000424556,0.000424556,0.000424556
73,7956.5,1.16919,0.78461,1.10582,0.76756,0.68367,0.74353,0.44701,1.13295,0.72378,1.05192,0.000410409,0.000410409,0.000410409
74,8064.81,1.17402,0.78803,1.10756,0.76461,0.68456,0.74135,0.44724,1.13795,0.71955,1.05511,0.000396262,0.000396262,0.000396262
75,8173.24,1.17312,0.78631,1.11101,0.75264,0.68901,0.73926,0.44708,1.12432,0.72086,1.04955,0.000382115,0.000382115,0.000382115
76,8351.57,1.15758,0.78094,1.10065,0.75756,0.6896,0.74306,0.44868,1.1185,0.71898,1.04451,0.000367967,0.000367967,0.000367967
77,8459.69,1.16567,0.77993,1.10452,0.76402,0.68436,0.74283,0.44802,1.11892,0.71147,1.04705,0.00035382,0.00035382,0.00035382
78,8568.35,1.16262,0.77755,1.10322,0.75839,0.68704,0.74324,0.45146,1.1115,0.7116,1.04496,0.000339673,0.000339673,0.000339673
79,8678.21,1.15567,0.77293,1.10311,0.76413,0.69078,0.74661,0.45287,1.10991,0.71081,1.04333,0.000325526,0.000325526,0.000325526
