epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,4319.26,2.04179,0.76513,0.99759,0.76045,0.71889,0.77244,0.47674,1.8512,0.7313,0.98771,0.000933851,0.000933851,0.000933851
37,4439.64,2.0473,0.7633,0.99938,0.76379,0.72121,0.76942,0.47769,1.81696,0.73631,0.98614,0.000919704,0.000919704,0.000919704
38,4559.86,2.02876,0.75974,0.99613,0.76916,0.72408,0.77375,0.48089,1.81943,0.72942,0.98398,0.000905557,0.000905557,0.000905557
39,4680.53,2.00052,0.7518,0.99266,0.77651,0.71615,0.77329,0.4838,1.78821,0.71517,0.98056,0.00089141,0.00089141,0.00089141
40,4800.79,2.00875,0.75441,0.99872,0.77539,0.72456,0.77536,0.48395,1.7791,0.72314,0.98216,0.000877263,0.000877263,0.000877263
41,4921.22,1.9575,0.74292,0.9887,0.76678,0.72271,0.77134,0.48381,1.75604,0.72393,0.98202,0.000863116,0.000863116,0.000863116
42,5042.05,1.97255,0.74425,0.98965,0.7655,0.72995,0.77797,0.48622,1.76274,0.71235,0.97679,0.000848969,0.000848969,0.000848969
43,5162.48,1.94562,0.7343,0.98585,0.77919,0.72055,0.77761,0.48697,1.75612,0.70586,0.9791,0.000834822,0.000834822,0.000834822
44,5283.18,1.92145,0.73375,0.98398,0.77796,0.72654,0.78262,0.4905,1.73054,0.70645,0.97317,0.000820675,0.000820675,0.000820675
45,5404.2,1.91818,0.72579,0.98492,0.7817,0.73695,0.78862,0.49295,1.73068,0.69325,0.9741,0.000806528,0.000806528,0.000806528
46,5524.93,1.91167,0.72467,0.98337,0.77988,0.73821,0.79047,0.49588,1.728,0.68996,0.97227,0.00079238,0.00079238,0.00079238
47,5645.7,1.89872,0.72084,0.98007,0.78152,0.72396,0.78324,0.49051,1.73802,0.70956,0.97721,0.000778233,0.000778233,0.000778233
48,5766,1.91417,0.7239,0.98363,0.78411,0.7332,0.78861,0.49661,1.69501,0.68845,0.96689,0.000764086,0.000764086,0.000764086
49,5886.66,1.88978,0.71791,0.97999,0.78371,0.73013,0.7937,0.49757,1.70361,0.68727,0.9679,0.000749939,0.000749939,0.000749939
50,6007.15,1.86766,0.71283,0.98001,0.78369,0.73339,0.78995,0.496,1.72306,0.69103,0.97243,0.000735792,0.000735792,0.000735792
51,6128.23,1.86926,0.70773,0.97695,0.77953,0.74095,0.79324,0.49913,1.68004,0.68046,0.96895,0.000721645,0.000721645,0.000721645
52,6249.19,1.84719,0.70335,0.97576,0.7845,0.73845,0.79533,0.5018,1.6849,0.67653,0.96787,0.000707498,0.000707498,0.000707498
53,6370.22,1.86117,0.7124,0.97626,0.78504,0.74168,0.7936,0.50198,1.68077,0.67672,0.96573,0.000693351,0.000693351,0.000693351
54,6490.66,1.84861,0.70326,0.97459,0.78492,0.74168,0.7947,0.50147,1.67836,0.68151,0.96706,0.000679204,0.000679204,0.000679204
55,6611.67,1.83275,0.70386,0.97192,0.79603,0.73429,0.79658,0.50451,1.68,0.67044,0.96864,0.000665057,0.000665057,0.000665057
56,6732.24,1.82844,0.69636,0.97414,0.77769,0.74756,0.79473,0.50416,1.64804,0.67465,0.96315,0.000650909,0.000650909,0.000650909
57,6853.04,1.80989,0.69844,0.97396,0.79223,0.7354,0.79693,0.50695,1.64906,0.66793,0.96273,0.000636762,0.000636762,0.000636762
58,6973.38,1.8147,0.69178,0.96983,0.7901,0.74033,0.79951,0.50716,1.63944,0.66743,0.96029,0.000622615,0.000622615,0.000622615
59,7094.15,1.7801,0.68465,0.96744,0.79455,0.74085,0.80044,0.50848,1.64196,0.66209,0.96093,0.000608468,0.000608468,0.000608468
60,7214.06,1.77277,0.68251,0.96755,0.78492,0.75249,0.80076,0.50976,1.63054,0.66076,0.95629,0.000594321,0.000594321,0.000594321
61,7334.64,1.7859,0.68555,0.96629,0.79793,0.74084,0.79917,0.50795,1.63022,0.65983,0.95913,0.000580174,0.000580174,0.000580174
62,7454.98,1.75938,0.67507,0.96397,0.7946,0.74766,0.80126,0.51284,1.61928,0.65413,0.95625,0.000566027,0.000566027,0.000566027
63,7575.88,1.77193,0.6809,0.96775,0.79679,0.74956,0.80501,0.51295,1.61071,0.64539,0.9561,0.00055188,0.00055188,0.00055188
64,7696.02,1.74602,0.67375,0.96371,0.80372,0.74312,0.8039,0.51167,1.61571,0.65034,0.95722,0.000537733,0.000537733,0.000537733
65,7817.21,1.7447,0.67346,0.96259,0.80818,0.73804,0.80523,0.5129,1.60914,0.65261,0.9561,0.000523586,0.000523586,0.000523586
66,7937.3,1.73834,0.67068,0.96449,0.80166,0.74338,0.80572,0.51439,1.60457,0.64943,0.95624,0.000509438,0.000509438,0.000509438
67,8058.13,1.72997,0.6696,0.9618,0.80089,0.74546,0.80649,0.51523,1.59402,0.64126,0.95392,0.000495291,0.000495291,0.000495291
68,8178.31,1.72145,0.66834,0.96017,0.79903,0.74611,0.80621,0.51533,1.59381,0.64024,0.95475,0.000481144,0.000481144,0.000481144
69,8299.01,1.72881,0.66649,0.96071,0.80546,0.74697,0.8087,0.51594,1.59293,0.63966,0.95451,0.000466997,0.000466997,0.000466997
70,8419.22,1.71541,0.6611,0.96076,0.80436,0.7514,0.80854,0.51678,1.58202,0.63727,0.95185,0.00045285,0.00045285,0.00045285
71,8540.14,1.70232,0.66249,0.9589,0.8046,0.75103,0.80826,0.51667,1.59159,0.63712,0.95334,0.000438703,0.000438703,0.000438703
72,8660.35,1.69822,0.65722,0.95626,0.79919,0.74853,0.80959,0.51728,1.58594,0.63388,0.9514,0.000424556,0.000424556,0.000424556
73,8781.2,1.68308,0.65489,0.95732,0.80405,0.75016,0.81285,0.52066,1.58113,0.63131,0.95138,0.000410409,0.000410409,0.000410409
74,8901.75,1.6916,0.65698,0.95749,0.80559,0.75302,0.81146,0.5206,1.56381,0.6334,0.95044,0.000396262,0.000396262,0.000396262
75,9022.8,1.68646,0.65375,0.95653,0.80613,0.74807,0.80872,0.51805,1.56652,0.63397,0.95067,0.000382115,0.000382115,0.000382115
76,9142.91,1.66159,0.64844,0.95373,0.80466,0.75339,0.81397,0.52149,1.56498,0.63017,0.95089,0.000367967,0.000367967,0.000367967
77,9263.58,1.67303,0.64873,0.95596,0.8097,0.75407,0.81666,0.52262,1.57278,0.62891,0.95227,0.00035382,0.00035382,0.00035382
78,9383.72,1.65681,0.64611,0.95222,0.81408,0.75227,0.81798,0.52161,1.56024,0.62928,0.94797,0.000339673,0.000339673,0.000339673
79,9504.33,1.65778,0.64587,0.95392,0.81475,0.7503,0.81598,0.52307,1.55532,0.62926,0.94884,0.000325526,0.000325526,0.000325526
80,9625.27,1.64142,0.63902,0.95245,0.80541,0.75728,0.81433,0.5226,1.55278,0.62737,0.94808,0.000311379,0.000311379,0.000311379
81,9745.75,1.65991,0.64551,0.95323,0.80443,0.76053,0.81589,0.52266,1.56207,0.62662,0.94865,0.000297232,0.000297232,0.000297232
82,9866.18,1.64024,0.64109,0.94979,0.80942,0.75793,0.81799,0.52338,1.56068,0.62612,0.94802,0.000283085,0.000283085,0.000283085
83,9986.83,1.65136,0.63822,0.94918,0.81095,0.75781,0.81671,0.52448,1.55057,0.62499,0.94785,0.000268938,0.000268938,0.000268938
84,10107.2,1.63288,0.63897,0.94953,0.8117,0.75726,0.8168,0.52475,1.54988,0.62318,0.94695,0.000254791,0.000254791,0.000254791
85,10227.8,1.62217,0.63261,0.94935,0.80308,0.76308,0.8177,0.52394,1.55199,0.62561,0.94633,0.000240644,0.000240644,0.000240644
86,10348.3,1.6077,0.6285,0.9445,0.80852,0.75819,0.8175,0.52391,1.54763,0.62392,0.94696,0.000226497,0.000226497,0.000226497
87,10469.3,1.60732,0.62944,0.94788,0.81713,0.75421,0.81709,0.52434,1.54511,0.6207,0.94461,0.000212349,0.000212349,0.000212349
88,10589.3,1.60759,0.62691,0.94586,0.81516,0.7587,0.81736,0.52476,1.55221,0.62014,0.94544,0.000198202,0.000198202,0.000198202
89,10709.7,1.61054,0.62969,0.94667,0.82435,0.75321,0.82011,0.52651,1.54227,0.61517,0.9447,0.000184055,0.000184055,0.000184055
90,10829.9,1.59295,0.62375,0.94439,0.81732,0.75821,0.81877,0.52616,1.55026,0.61577,0.9454,0.000169908,0.000169908,0.000169908
91,10983.7,1.50557,0.59414,0.93093,0.81439,0.75314,0.81588,0.52241,1.57157,0.62266,0.94782,0.000155761,0.000155761,0.000155761
92,11101.7,1.49503,0.58768,0.92989,0.81211,0.75445,0.8159,0.52259,1.56914,0.62152,0.94757,0.000141614,0.000141614,0.000141614
93,11219.6,1.48892,0.58542,0.93181,0.81695,0.75385,0.81565,0.52307,1.55905,0.62122,0.94681,0.000127467,0.000127467,0.000127467
94,11337.6,1.47559,0.57898,0.92781,0.81842,0.75606,0.81697,0.52349,1.55895,0.61938,0.94557,0.00011332,0.00011332,0.00011332
95,11455.8,1.45837,0.5746,0.92582,0.81546,0.75686,0.81721,0.52388,1.55531,0.61832,0.94579,9.91726e-05,9.91726e-05,9.91726e-05
96,11573.1,1.46174,0.57189,0.92315,0.81215,0.76003,0.81737,0.5242,1.55537,0.61722,0.94513,8.50255e-05,8.50255e-05,8.50255e-05
97,11690.9,1.46006,0.57311,0.92597,0.81753,0.75273,0.81886,0.52525,1.55491,0.61599,0.94444,7.08784e-05,7.08784e-05,7.08784e-05
98,11808.6,1.45143,0.56966,0.92448,0.81449,0.75517,0.81788,0.52591,1.54626,0.6167,0.94392,5.67313e-05,5.67313e-05,5.67313e-05
99,11926.6,1.44451,0.56774,0.92397,0.8202,0.75411,0.81868,0.52647,1.54626,0.61645,0.94401,4.25842e-05,4.25842e-05,4.25842e-05
100,12044,1.44389,0.56882,0.92235,0.81356,0.75643,0.81868,0.52704,1.54741,0.61575,0.94421,2.84371e-05,2.84371e-05,2.84371e-05
