epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.009,3.10206,3.41952,3.1617,0.72088,0.14821,0.17177,0.07555,2.27847,2.20779,2.2253,0.000474756,0.000474756,0.000474756
2,228.31,2.05266,1.8318,1.78603,0.36463,0.30061,0.30346,0.16369,1.83953,1.70193,1.65298,0.000941674,0.000941674,0.000941674
3,337.743,1.74932,1.50333,1.50519,0.46965,0.42805,0.41082,0.23015,1.57848,1.38507,1.43146,0.00139916,0.00139916,0.00139916
4,446.781,1.58775,1.30467,1.37207,0.50209,0.46447,0.46801,0.26782,1.47895,1.277,1.35364,0.00138656,0.00138656,0.00138656
5,554.779,1.50474,1.20398,1.30971,0.57607,0.50397,0.52116,0.2943,1.42806,1.17017,1.30901,0.00137241,0.00137241,0.00137241
6,663.476,1.43218,1.11371,1.25975,0.59252,0.51923,0.54404,0.31265,1.33819,1.13141,1.24211,0.00135826,0.00135826,0.00135826
7,771.8,1.37887,1.05547,1.22406,0.61837,0.54948,0.57955,0.33422,1.30212,1.04215,1.22739,0.00134412,0.00134412,0.00134412
8,879.792,1.34982,1.01965,1.20434,0.64784,0.54648,0.58405,0.34287,1.28363,0.99149,1.19732,0.00132997,0.00132997,0.00132997
9,987.797,1.32028,0.98626,1.18567,0.62677,0.5665,0.59215,0.34916,1.26798,0.9897,1.18703,0.00131582,0.00131582,0.00131582
10,1096.48,1.28911,0.96507,1.16618,0.67285,0.57288,0.61534,0.35922,1.24458,0.96559,1.1722,0.00130168,0.00130168,0.00130168
11,1204.88,1.25214,0.92014,1.14592,0.67035,0.5806,0.61753,0.36643,1.22206,0.93257,1.153,0.00128753,0.00128753,0.00128753
12,1313.18,1.24776,0.91798,1.1419,0.69183,0.58708,0.64134,0.37722,1.21365,0.90692,1.14576,0.00127338,0.00127338,0.00127338
13,1422.04,1.22432,0.88443,1.12625,0.6874,0.58613,0.63216,0.37777,1.18274,0.89284,1.12641,0.00125923,0.00125923,0.00125923
14,1530.47,1.21192,0.8756,1.11937,0.69441,0.61279,0.65329,0.38909,1.17453,0.88287,1.11487,0.00124509,0.00124509,0.00124509
15,1639.39,1.20395,0.8633,1.11302,0.70393,0.61749,0.66332,0.39497,1.18039,0.8582,1.11379,0.00123094,0.00123094,0.00123094
16,1749.85,1.18169,0.84016,1.09936,0.68304,0.60572,0.64653,0.39246,1.1498,0.86441,1.11194,0.00121679,0.00121679,0.00121679
17,1858.82,1.17923,0.83602,1.0982,0.70906,0.62611,0.66775,0.39928,1.14862,0.8393,1.09626,0.00120265,0.00120265,0.00120265
18,1966.95,1.16492,0.83349,1.09111,0.69361,0.62836,0.67286,0.40234,1.12138,0.83493,1.08793,0.0011885,0.0011885,0.0011885
19,2076.77,1.15011,0.81791,1.08403,0.71387,0.62976,0.67354,0.40751,1.13278,0.82505,1.09974,0.00117435,0.00117435,0.00117435
20,2186.02,1.15032,0.81526,1.08568,0.72001,0.61924,0.67936,0.41178,1.12133,0.81976,1.08427,0.00116021,0.00116021,0.00116021
21,2296.56,1.12522,0.79037,1.07022,0.70459,0.64068,0.68427,0.41432,1.11168,0.80255,1.07971,0.00114606,0.00114606,0.00114606
22,2405.18,1.12811,0.79049,1.07212,0.72246,0.64157,0.68799,0.41734,1.10894,0.79935,1.08309,0.00113191,0.00113191,0.00113191
23,2512.77,1.12114,0.78694,1.066,0.71318,0.65074,0.68955,0.42148,1.09498,0.78306,1.06546,0.00111776,0.00111776,0.00111776
24,2620.86,1.10973,0.77414,1.06216,0.72449,0.64174,0.69019,0.42162,1.09104,0.77558,1.0687,0.00110362,0.00110362,0.00110362
25,2728.56,1.10471,0.76574,1.05815,0.73718,0.6451,0.69956,0.42735,1.0828,0.77488,1.0626,0.00108947,0.00108947,0.00108947
26,2836.33,1.09683,0.75691,1.05293,0.71821,0.65603,0.69669,0.43037,1.07534,0.75366,1.05959,0.00107532,0.00107532,0.00107532
27,2950.45,1.08905,0.74946,1.052,0.73955,0.65636,0.70786,0.43485,1.06995,0.74154,1.05715,0.00106118,0.00106118,0.00106118
28,3058.85,1.08419,0.74855,1.04696,0.73497,0.66888,0.71392,0.43464,1.07426,0.74362,1.05893,0.00104703,0.00104703,0.00104703
29,3166.88,1.07801,0.74448,1.04519,0.72836,0.66412,0.71025,0.4362,1.06614,0.74824,1.0582,0.00103288,0.00103288,0.00103288
30,3274.7,1.0801,0.74375,1.04918,0.72787,0.66627,0.71212,0.43835,1.06537,0.72704,1.05041,0.00101873,0.00101873,0.00101873
31,3381.95,1.06941,0.73129,1.03971,0.72746,0.66746,0.71701,0.44163,1.06569,0.73515,1.04861,0.00100459,0.00100459,0.00100459
32,3488.99,1.06282,0.72861,1.03684,0.7323,0.66566,0.71538,0.44408,1.05462,0.72281,1.04113,0.00099044,0.00099044,0.00099044
33,3596.15,1.05622,0.7266,1.03814,0.74787,0.67091,0.71949,0.44562,1.04916,0.7188,1.04141,0.000976293,0.000976293,0.000976293
34,3703.09,1.05562,0.71713,1.03258,0.73718,0.66379,0.71606,0.44499,1.05252,0.71522,1.04169,0.000962146,0.000962146,0.000962146
35,3828.46,1.05344,0.71405,1.03205,0.74226,0.67336,0.72129,0.44864,1.04346,0.71527,1.03901,0.000947999,0.000947999,0.000947999
36,3935.43,1.04374,0.70651,1.02683,0.76022,0.67208,0.72946,0.45259,1.0338,0.70345,1.03171,0.000933851,0.000933851,0.000933851
37,4043.32,1.04283,0.7045,1.02719,0.75736,0.68324,0.73211,0.45186,1.03792,0.69997,1.0379,0.000919704,0.000919704,0.000919704
38,4150.18,1.04161,0.70656,1.02621,0.74572,0.67882,0.72651,0.45241,1.03676,0.70119,1.03503,0.000905557,0.000905557,0.000905557
39,4257.17,1.02935,0.69274,1.02033,0.74826,0.67925,0.73196,0.45802,1.02807,0.68662,1.02673,0.00089141,0.00089141,0.00089141
40,4363.81,1.03891,0.69772,1.02746,0.74791,0.68689,0.73365,0.45831,1.02084,0.6874,1.02738,0.000877263,0.000877263,0.000877263
41,4471.35,1.01932,0.68494,1.01375,0.74905,0.69419,0.73711,0.45837,1.02651,0.68847,1.02706,0.000863116,0.000863116,0.000863116
42,4577.95,1.02675,0.68669,1.0161,0.76931,0.68588,0.73909,0.45852,1.02944,0.6816,1.02502,0.000848969,0.000848969,0.000848969
43,4685,1.01844,0.67845,1.01174,0.74402,0.69051,0.73804,0.4629,1.01681,0.66895,1.02464,0.000834822,0.000834822,0.000834822
44,4791.93,1.00844,0.67732,1.00923,0.75465,0.69321,0.74178,0.46302,1.02062,0.67616,1.02055,0.000820675,0.000820675,0.000820675
45,4898.47,1.01109,0.67237,1.00963,0.76037,0.69616,0.74108,0.46492,1.01825,0.66395,1.02265,0.000806528,0.000806528,0.000806528
46,5014.47,1.00624,0.66714,1.00587,0.76223,0.68966,0.74336,0.46571,1.01492,0.66604,1.01879,0.00079238,0.00079238,0.00079238
47,5121.17,1.00683,0.66511,1.0045,0.76895,0.69342,0.74832,0.46712,1.00971,0.67004,1.01437,0.000778233,0.000778233,0.000778233
48,5228.48,1.00749,0.6688,1.00677,0.76618,0.69363,0.74722,0.46811,1.00608,0.65692,1.01287,0.000764086,0.000764086,0.000764086
49,5334.68,1.00002,0.6611,1.00533,0.75812,0.70043,0.74986,0.47053,1.00208,0.65538,1.00876,0.000749939,0.000749939,0.000749939
50,5442.12,0.99169,0.65585,1.00213,0.76372,0.69489,0.74445,0.46814,1.00897,0.65645,1.01365,0.000735792,0.000735792,0.000735792
