epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.384,3.10206,3.41952,3.1617,0.72233,0.15336,0.1785,0.0784,2.26057,2.19664,2.21404,0.000474756,0.000474756,0.000474756
2,236.698,2.05266,1.8318,1.78603,0.36575,0.31677,0.32029,0.1722,1.81268,1.68071,1.64154,0.000941674,0.000941674,0.000941674
3,347.049,1.74932,1.50333,1.50519,0.47848,0.45309,0.43506,0.24372,1.54979,1.36208,1.41722,0.00139916,0.00139916,0.00139916
4,458.128,1.58775,1.30467,1.37207,0.51126,0.49241,0.49763,0.28483,1.44846,1.24961,1.34077,0.00138656,0.00138656,0.00138656
5,568.918,1.50474,1.20398,1.30971,0.59198,0.53066,0.55396,0.31348,1.39873,1.14047,1.29588,0.00137241,0.00137241,0.00137241
6,680.248,1.43218,1.11371,1.25975,0.61073,0.54652,0.57919,0.33419,1.30951,1.10697,1.22863,0.00135826,0.00135826,0.00135826
7,792.907,1.37887,1.05547,1.22406,0.63198,0.58167,0.61566,0.35733,1.27155,1.01406,1.21442,0.00134412,0.00134412,0.00134412
8,903.992,1.34982,1.01965,1.20434,0.66824,0.57745,0.61969,0.36534,1.25411,0.96089,1.18394,0.00132997,0.00132997,0.00132997
9,1015.9,1.32028,0.98626,1.18567,0.63987,0.59773,0.62803,0.37213,1.23911,0.96328,1.17443,0.00131582,0.00131582,0.00131582
10,1127.28,1.28911,0.96507,1.16618,0.684,0.60794,0.65439,0.38474,1.21273,0.93917,1.15844,0.00130168,0.00130168,0.00130168
11,1238.87,1.25214,0.92014,1.14592,0.68749,0.61216,0.65563,0.39067,1.19113,0.90252,1.14081,0.00128753,0.00128753,0.00128753
12,1351.58,1.24776,0.91798,1.1419,0.71107,0.62028,0.67846,0.40128,1.18697,0.87835,1.13497,0.00127338,0.00127338,0.00127338
13,1464.36,1.22432,0.88443,1.12625,0.69509,0.61958,0.66856,0.40184,1.15337,0.86572,1.11386,0.00125923,0.00125923,0.00125923
14,1577.29,1.21192,0.8756,1.11937,0.71274,0.64245,0.69126,0.41377,1.15048,0.85725,1.10469,0.00124509,0.00124509,0.00124509
15,1690.21,1.20395,0.8633,1.11302,0.71926,0.65075,0.7011,0.41954,1.15206,0.83147,1.10268,0.00123094,0.00123094,0.00123094
16,1803.01,1.18169,0.84016,1.09936,0.69596,0.64065,0.6827,0.41608,1.12308,0.83836,1.10067,0.00121679,0.00121679,0.00121679
17,1915.46,1.17923,0.83602,1.0982,0.7258,0.65978,0.70519,0.42416,1.12159,0.81516,1.08512,0.00120265,0.00120265,0.00120265
18,2028.11,1.16492,0.83349,1.09111,0.70682,0.65954,0.70886,0.42617,1.09693,0.81042,1.07762,0.0011885,0.0011885,0.0011885
19,2139.91,1.15011,0.81791,1.08403,0.73162,0.65948,0.71127,0.43294,1.10806,0.80112,1.08946,0.00117435,0.00117435,0.00117435
20,2252.16,1.15032,0.81526,1.08568,0.73362,0.65515,0.71702,0.43733,1.09411,0.79494,1.07344,0.00116021,0.00116021,0.00116021
21,2363.6,1.12522,0.79037,1.07022,0.7179,0.67472,0.72008,0.43799,1.08784,0.77816,1.07011,0.00114606,0.00114606,0.00114606
22,2475.93,1.12811,0.79049,1.07212,0.7439,0.67189,0.72634,0.44323,1.08197,0.77424,1.07181,0.00113191,0.00113191,0.00113191
23,2587.28,1.12114,0.78694,1.066,0.73909,0.67297,0.72669,0.44794,1.06773,0.75907,1.05432,0.00111776,0.00111776,0.00111776
24,2698.93,1.10973,0.77414,1.06216,0.73803,0.68167,0.72666,0.44646,1.06428,0.7507,1.05778,0.00110362,0.00110362,0.00110362
25,2811.03,1.10471,0.76574,1.05815,0.75026,0.67948,0.73889,0.45404,1.05844,0.74955,1.05271,0.00108947,0.00108947,0.00108947
26,2922.27,1.09683,0.75691,1.05293,0.73297,0.68628,0.73309,0.45618,1.04873,0.73051,1.04829,0.00107532,0.00107532,0.00107532
27,3033.68,1.08905,0.74946,1.052,0.75141,0.69427,0.74585,0.46118,1.04525,0.71613,1.04709,0.00106118,0.00106118,0.00106118
28,3145.55,1.08419,0.74855,1.04696,0.75767,0.69812,0.75177,0.46086,1.04908,0.71727,1.04888,0.00104703,0.00104703,0.00104703
29,3258.13,1.07801,0.74448,1.04519,0.75341,0.69027,0.74577,0.46106,1.04059,0.72491,1.0475,0.00103288,0.00103288,0.00103288
30,3369.54,1.0801,0.74375,1.04918,0.76078,0.69092,0.75132,0.46543,1.0385,0.70141,1.03885,0.00101873,0.00101873,0.00101873
31,3480.75,1.06941,0.73129,1.03971,0.76438,0.68573,0.75408,0.46876,1.03867,0.70962,1.03805,0.00100459,0.00100459,0.00100459
32,3592.3,1.06282,0.72861,1.03684,0.7451,0.70297,0.75356,0.4718,1.02768,0.69817,1.03056,0.00099044,0.00099044,0.00099044
33,3703.71,1.05622,0.7266,1.03814,0.77367,0.7011,0.75702,0.47109,1.02376,0.69509,1.03103,0.000976293,0.000976293,0.000976293
34,3815.52,1.05562,0.71713,1.03258,0.75539,0.69665,0.75422,0.47117,1.02839,0.69266,1.03175,0.000962146,0.000962146,0.000962146
35,3927.62,1.05344,0.71405,1.03205,0.76579,0.70317,0.75916,0.47593,1.01646,0.6884,1.02853,0.000947999,0.000947999,0.000947999
36,4039.6,1.04374,0.70651,1.02683,0.78073,0.70533,0.76579,0.47803,1.00896,0.67767,1.02159,0.000933851,0.000933851,0.000933851
37,4151.71,1.04283,0.7045,1.02719,0.77518,0.71243,0.7681,0.47853,1.01116,0.67569,1.02669,0.000919704,0.000919704,0.000919704
38,4263.37,1.04161,0.70656,1.02621,0.76334,0.70988,0.76457,0.48046,1.01079,0.67395,1.0243,0.000905557,0.000905557,0.000905557
39,4375.38,1.02935,0.69274,1.02033,0.77163,0.70887,0.76877,0.48476,1.00192,0.66238,1.01598,0.00089141,0.00089141,0.00089141
40,4486.99,1.03891,0.69772,1.02746,0.77437,0.7113,0.773,0.4864,0.99458,0.66416,1.01632,0.000877263,0.000877263,0.000877263
41,4599.15,1.01932,0.68494,1.01375,0.77134,0.72436,0.77372,0.48612,0.99905,0.66376,1.01546,0.000863116,0.000863116,0.000863116
42,4710.71,1.02675,0.68669,1.0161,0.7849,0.71455,0.7755,0.48548,1.0021,0.65944,1.01324,0.000848969,0.000848969,0.000848969
43,4823.72,1.01844,0.67845,1.01174,0.78001,0.7088,0.77583,0.48996,0.99134,0.64256,1.01375,0.000834822,0.000834822,0.000834822
44,4935.11,1.00844,0.67732,1.00923,0.77153,0.72249,0.77734,0.48959,0.99422,0.65271,1.00953,0.000820675,0.000820675,0.000820675
45,5047.34,1.01109,0.67237,1.00963,0.77821,0.71925,0.77817,0.49266,0.9915,0.6384,1.01108,0.000806528,0.000806528,0.000806528
46,5159.32,1.00624,0.66714,1.00587,0.79101,0.71447,0.78048,0.49369,0.98698,0.64115,1.0071,0.00079238,0.00079238,0.00079238
47,5271.68,1.00683,0.66511,1.0045,0.78095,0.72702,0.78486,0.49498,0.9825,0.64528,1.00309,0.000778233,0.000778233,0.000778233
48,5383.92,1.00749,0.6688,1.00677,0.79797,0.71314,0.78442,0.49598,0.97918,0.63189,1.00173,0.000764086,0.000764086,0.000764086
49,5497.01,1.00002,0.6611,1.00533,0.77518,0.73206,0.78672,0.49836,0.97439,0.63162,0.99745,0.000749939,0.000749939,0.000749939
50,5609.67,0.99169,0.65585,1.00213,0.78259,0.72201,0.7804,0.49563,0.98266,0.6345,1.00232,0.000735792,0.000735792,0.000735792
51,5721.75,0.99296,0.65388,0.99923,0.78579,0.73103,0.78757,0.49935,0.97514,0.62779,0.9975,0.000721645,0.000721645,0.000721645
52,5835.64,0.98667,0.64787,0.99778,0.78182,0.73414,0.78784,0.5011,0.97004,0.62785,0.99476,0.000707498,0.000707498,0.000707498
53,5948.1,0.99022,0.65265,0.9976,0.78319,0.73108,0.78735,0.50139,0.97115,0.62478,0.99883,0.000693351,0.000693351,0.000693351
54,6060.52,0.98554,0.64746,0.99588,0.79197,0.72999,0.7882,0.50124,0.97443,0.62653,0.99615,0.000679204,0.000679204,0.000679204
55,6172.41,0.98578,0.64845,0.99489,0.786,0.73761,0.79062,0.50299,0.96607,0.61784,0.99116,0.000665057,0.000665057,0.000665057
56,6284.01,0.98658,0.63863,0.99414,0.79398,0.73408,0.79009,0.50402,0.96923,0.62219,0.99527,0.000650909,0.000650909,0.000650909
57,6394.9,0.97688,0.64029,0.99549,0.78378,0.73838,0.79388,0.50713,0.96476,0.61399,0.99028,0.000636762,0.000636762,0.000636762
58,6506.97,0.98077,0.63757,0.99218,0.79925,0.73457,0.79633,0.50736,0.9621,0.62021,0.98973,0.000622615,0.000622615,0.000622615
59,6618.62,0.97137,0.6326,0.98701,0.78938,0.74045,0.79767,0.50865,0.96316,0.61334,0.99215,0.000608468,0.000608468,0.000608468
60,6729.87,0.96857,0.6276,0.98804,0.79158,0.74075,0.7979,0.50986,0.95824,0.6101,0.98757,0.000594321,0.000594321,0.000594321
61,6841.3,0.96873,0.62943,0.98672,0.79434,0.73626,0.79502,0.5079,0.95877,0.61221,0.98506,0.000580174,0.000580174,0.000580174
62,6952.46,0.96328,0.61968,0.98343,0.80033,0.73081,0.79763,0.50889,0.95649,0.61072,0.98617,0.000566027,0.000566027,0.000566027
63,7064.42,0.9704,0.6278,0.9879,0.7848,0.74892,0.79701,0.50886,0.95823,0.60629,0.98628,0.00055188,0.00055188,0.00055188
64,7176.54,0.96233,0.62347,0.98425,0.79656,0.74052,0.79989,0.50943,0.95423,0.60602,0.98437,0.000537733,0.000537733,0.000537733
65,7288.49,0.95945,0.61931,0.98181,0.79271,0.7423,0.79839,0.50844,0.95538,0.60611,0.98486,0.000523586,0.000523586,0.000523586
66,7399.96,0.95674,0.61661,0.98329,0.79766,0.74035,0.80122,0.51167,0.95375,0.5999,0.98282,0.000509438,0.000509438,0.000509438
67,7512.18,0.95614,0.61699,0.98076,0.79407,0.75215,0.80073,0.51178,0.95144,0.60193,0.98354,0.000495291,0.000495291,0.000495291
68,7624.04,0.94778,0.61263,0.97752,0.80171,0.7416,0.80341,0.5128,0.95177,0.59911,0.98067,0.000481144,0.000481144,0.000481144
69,7742.55,0.95334,0.61141,0.9797,0.79774,0.74522,0.80316,0.51407,0.95047,0.59878,0.98005,0.000466997,0.000466997,0.000466997
70,7854.3,0.9542,0.61031,0.98011,0.80631,0.74363,0.80598,0.51626,0.94939,0.59602,0.98379,0.00045285,0.00045285,0.00045285
71,7966.03,0.94851,0.6093,0.97903,0.78901,0.74878,0.8012,0.513,0.94907,0.60082,0.98299,0.000438703,0.000438703,0.000438703
72,8078.52,0.94471,0.60579,0.97682,0.80481,0.74331,0.80608,0.51622,0.94686,0.59547,0.97891,0.000424556,0.000424556,0.000424556
